review_id,user_id,business_id,stars,date
KU_O5udG6zpxOg-VcAEodg,mh_-eMZ6K5RLWhZyISBhwA,XQfwVwDr-v0ZS3_CbbE5Xw,3.0,2018-07-07 22:09:11
Sx8TMOWLNuJBWer-0pcmoA,bcjbaE6dDog4jkNY91ncLQ,e4Vwtrqf-wpJfwesgvdgxQ,4.0,2017-01-14 20:54:15
lUUhg8ltDsUZ9h0xnwY4Dg,RreNy--tOmXMl1en0wiBOg,cPepkJeRMtHapc_b2Oe_dw,4.0,2018-07-17 03:30:07
YbMyvlDA2W3Py5lTz8VK-A,4hBhtCSgoxkrFgHa4YAD-w,bbEXAEFr4RYHLlZ-HFssTA,5.0,2017-01-02 03:17:34
RB8UpF_kT2xoOC51OzXEeA,EZjT2qJN0mOXypMAqZdSrQ,A2q7d-CBM2-81tVkmS4JMw,2.0,2017-07-08 18:58:42
A4n4YaE-owOVgTQcrVqHUw,S7bjj-L07JuRr-tpX1UZLw,I6L0Zxi5Ww0zEWSAVgngeQ,4.0,2018-07-07 20:50:12
4KpIldEM-tdnrJLqYzRfZQ,Z5j9Xw_G0c7M2b1-iS67wg,HTqXI5S2XcSlh_ylx9sE6g,5.0,2018-03-23 14:35:33
JzBhoRVecH9pO0BBiJNQqw,Pbry-b9xBgHlWlbGlYbTZg,b7V_5q22_eTeHlYzq1bpFw,3.0,2017-01-02 04:12:17
jSoo6p_GpvYRHG2QK6WE2g,EfG0nInFMbiO9Hy7A6B2cQ,fGYnHzFr1z2kv7bPRW6VMA,3.0,2017-08-08 01:37:37
zcj7iTXdSz0GCBOReMTeiQ,X8XCFMZN8pFlWEZcKuKzZw,Zx7n8mdt8OzLRXVzolXNhQ,5.0,2018-01-21 17:12:47
e4H9r1BSvBGAVQ-HvelnhA,1wN_Q-1fg46ZomOzf2tg5w,6p07zfmJWvytr0paqpyvbg,1.0,2017-10-11 03:53:10
